Model,Embeddings_Dir,k,N_Points,N_Clusters,N_GT_Classes,Silhouette,RI,ARI,NMI,AMI,Inertia,Elapsed_s,Random_State,Silhouette_Subsample_N
supervised_contrastive,multi_trial_20260903_class_aware_noise/trial_01_seed42,10,184603,10,88,0.06673742830753326,0.880215014521759,0.09647855850165586,0.294365710769788,0.29389364417260117,1633536.875,2.96,42,5000
supervised_contrastive,multi_trial_20260903_class_aware_noise/trial_01_seed42,20,184603,20,88,0.09324464201927185,0.9325307114958554,0.16051420822805892,0.3841772635771634,0.3833839822867479,1403223.75,3.05,42,5000
supervised_contrastive,multi_trial_20260903_class_aware_noise/trial_01_seed42,30,184603,30,88,0.10284657031297684,0.9559950220868947,0.2379927751012506,0.43830399093654027,0.43726327989735664,1288865.25,3.46,42,5000
supervised_contrastive,multi_trial_20260903_class_aware_noise/trial_01_seed42,40,184603,40,88,0.10687999427318573,0.9628286355257433,0.24637375753898838,0.46591000559848306,0.46461649659167575,1214148.0,3.63,42,5000
supervised_contrastive,multi_trial_20260903_class_aware_noise/trial_01_seed42,50,184603,50,88,0.10639963299036026,0.9681575369773897,0.2609737819808238,0.47877442842403245,0.47723355934622963,1172268.5,3.85,42,5000
supervised_contrastive,multi_trial_20260903_class_aware_noise/trial_01_seed42,60,184603,60,88,0.10999550670385361,0.9703655371159758,0.27309231832657027,0.50095291486474,0.49919685932431135,1121603.375,4.15,42,5000
supervised_contrastive,multi_trial_20260903_class_aware_noise/trial_01_seed42,70,184603,70,88,0.10623205453157425,0.9718604745510139,0.2396337923579776,0.5057813356018732,0.5037918050317449,1077692.25,4.38,42,5000
supervised_contrastive,multi_trial_20260903_class_aware_noise/trial_01_seed42,80,184603,80,88,0.10051596164703369,0.9738461872446559,0.24346193702957994,0.5146955381091283,0.5124919955234031,1056152.75,4.48,42,5000
supervised_contrastive,multi_trial_20260903_class_aware_noise/trial_01_seed42,90,184603,90,88,0.10753881931304932,0.9750783726933681,0.24616371308846297,0.5250272475018196,0.5226213294852015,1022124.625,4.71,42,5000
supervised_contrastive,multi_trial_20260903_class_aware_noise/trial_01_seed42,100,184603,100,88,0.10816668719053268,0.97617705186477,0.28562943764146176,0.5308805899027457,0.5282412683852568,1023615.4375,4.87,42,5000
supervised_contrastive,multi_trial_20260903_class_aware_noise/trial_01_seed42,110,184603,110,88,0.10056638717651367,0.9765184193060651,0.25372378720701855,0.5344615153433364,0.5316123303501797,993510.0625,5.32,42,5000
supervised_contrastive,multi_trial_20260903_class_aware_noise/trial_01_seed42,120,184603,120,88,0.10657063126564026,0.9766495610724377,0.22823503888756067,0.5368317936565389,0.5337651325580899,970139.875,5.56,42,5000
supervised_contrastive,multi_trial_20260903_class_aware_noise/trial_01_seed42,130,184603,130,88,0.11818825453519821,0.9784948205017586,0.2904672468883897,0.5523011712924244,0.5490938758845183,959913.875,5.97,42,5000
supervised_contrastive,multi_trial_20260903_class_aware_noise/trial_01_seed42,140,184603,140,88,0.1073245108127594,0.9783346346133963,0.2643351396658148,0.5484510194915191,0.544991044141987,936978.9375,6.01,42,5000
supervised_contrastive,multi_trial_20260903_class_aware_noise/trial_01_seed42,150,184603,150,88,0.11093401908874512,0.9782092162910321,0.2436231321870219,0.5608976747487664,0.5573063576946105,920459.8125,6.06,42,5000
supervised_contrastive,multi_trial_20260903_class_aware_noise/trial_01_seed42,160,184603,160,88,0.11181118339300156,0.9787880539561826,0.24968344014292743,0.5633710403740197,0.5595820316655504,911508.0625,6.55,42,5000
supervised_contrastive,multi_trial_20260903_class_aware_noise/trial_01_seed42,170,184603,170,88,0.10689003765583038,0.9781451143871892,0.22510475044857603,0.5606415817661368,0.5565994364224329,899385.6875,6.37,42,5000
supervised_contrastive,multi_trial_20260903_class_aware_noise/trial_01_seed42,180,184603,180,88,0.10546586662530899,0.9789263063924823,0.24393536229532184,0.5611244993594944,0.5568658149459836,892640.9375,6.33,42,5000
supervised_contrastive,multi_trial_20260903_class_aware_noise/trial_01_seed42,190,184603,190,88,0.09829708933830261,0.9787193601860669,0.21288141830010512,0.5634014570701699,0.558956109437584,880711.5,6.75,42,5000
supervised_contrastive,multi_trial_20260903_class_aware_noise/trial_01_seed42,200,184603,200,88,0.10499289631843567,0.9791161088528748,0.21960994953153196,0.5700974705867288,0.5655055134390208,869025.6875,6.72,42,5000
supervised_finetune,embeddings/supervised_finetune,10,184603,10,88,0.1819099336862564,0.9008716389532466,0.203951887422261,0.529283598370489,0.5289708228417059,14412189.0,2.74,42,5000
supervised_finetune,embeddings/supervised_finetune,20,184603,20,88,0.2601551711559295,0.9526194121390068,0.3421312566499062,0.6265614035315479,0.6260872303721865,10318331.0,2.77,42,5000
supervised_finetune,embeddings/supervised_finetune,30,184603,30,88,0.2949812114238739,0.963552683589,0.3882534153045279,0.6635280569707571,0.6629026482321331,8228954.5,3.21,42,5000
supervised_finetune,embeddings/supervised_finetune,40,184603,40,88,0.3259604871273041,0.9730290455059292,0.4609382966746135,0.6990838843770032,0.6983564636956116,6918278.5,3.35,42,5000
supervised_finetune,embeddings/supervised_finetune,50,184603,50,88,0.3118416368961334,0.9768150478458284,0.485689181316406,0.7095815418377375,0.7087159569943857,6398565.0,3.72,42,5000
supervised_finetune,embeddings/supervised_finetune,60,184603,60,88,0.3230972588062286,0.9797849035147104,0.5143995764639989,0.723153367976209,0.7221791755013955,5712537.0,3.91,42,5000
supervised_finetune,embeddings/supervised_finetune,70,184603,70,88,0.3179320693016052,0.9795874694043816,0.4884368168783849,0.7290735317630305,0.7279693470716584,5321682.5,4.13,42,5000
supervised_finetune,embeddings/supervised_finetune,80,184603,80,88,0.2952792644500732,0.9803008412215616,0.443970920925107,0.7262438438855783,0.7249941436863802,5019804.5,4.29,42,5000
supervised_finetune,embeddings/supervised_finetune,90,184603,90,88,0.325740247964859,0.9818803435659428,0.4956783399689366,0.7355536045377926,0.7341958080403738,4610990.5,4.68,42,5000
supervised_finetune,embeddings/supervised_finetune,100,184603,100,88,0.2921442985534668,0.981973729804818,0.4713719174920392,0.7420127084556148,0.7405524894632025,4428322.5,4.65,42,5000
supervised_finetune,embeddings/supervised_finetune,110,184603,110,88,0.2938868999481201,0.9814299415877183,0.4467320292059827,0.7398552356828583,0.7382362309754568,4336361.5,4.78,42,5000
supervised_finetune,embeddings/supervised_finetune,120,184603,120,88,0.2965010106563568,0.9819598716309318,0.4341851492390156,0.741603621101306,0.7398696295478363,3990801.0,5.24,42,5000
supervised_finetune,embeddings/supervised_finetune,130,184603,130,88,0.292608231306076,0.981332913946832,0.4060427547194801,0.7355961846354425,0.7336885272893672,3813309.75,5.31,42,5000
supervised_finetune,embeddings/supervised_finetune,140,184603,140,88,0.3081702888011932,0.9826057806744696,0.4403772488370623,0.7486588890936239,0.7467083681379869,3719828.25,5.49,42,5000
supervised_finetune,embeddings/supervised_finetune,150,184603,150,88,0.3011464178562164,0.9817400867328588,0.3856876746765669,0.7412616094135406,0.7391338695277127,3490650.25,5.6,42,5000
supervised_finetune,embeddings/supervised_finetune,160,184603,160,88,0.295746237039566,0.9821548097088404,0.400508539175378,0.7460269874755205,0.7437954915419006,3404446.25,5.78,42,5000
supervised_finetune,embeddings/supervised_finetune,170,184603,170,88,0.318322479724884,0.98404008782113,0.4686778251378861,0.7518620969838354,0.749553516107954,3187964.0,6.08,42,5000
supervised_finetune,embeddings/supervised_finetune,180,184603,180,88,0.3016357719898224,0.9823200574429636,0.3704786878226113,0.7495461128556069,0.7471051545658398,3084221.5,6.02,42,5000
supervised_finetune,embeddings/supervised_finetune,190,184603,190,88,0.3216336965560913,0.9826215079088888,0.3862159133699519,0.7545794881913551,0.7520514760974114,2927645.5,6.37,42,5000
supervised_finetune,embeddings/supervised_finetune,200,184603,200,88,0.3034964203834533,0.9833387592870164,0.4052660071903565,0.7550289696792908,0.7523844654170767,2846263.25,6.41,42,5000
ssl_contrastive,embeddings/self_supervised_contrastive,10,184603,10,88,0.0645359456539154,0.8855030085080484,0.0946058917192729,0.294239241224225,0.2937691913949237,1613553.5,2.73,42,5000
ssl_contrastive,embeddings/self_supervised_contrastive,20,184603,20,88,0.0788434818387031,0.9378230982174984,0.1839749310499427,0.3808615376217544,0.3800701479874075,1428057.25,2.98,42,5000
ssl_contrastive,embeddings/self_supervised_contrastive,30,184603,30,88,0.0878479704260826,0.9553231564776712,0.2090922944256457,0.4163690490832812,0.4152908646669251,1317417.875,3.29,42,5000
ssl_contrastive,embeddings/self_supervised_contrastive,40,184603,40,88,0.0897536724805831,0.9615243265365264,0.2025920630306451,0.4460663886686177,0.444733850201057,1234469.625,3.6,42,5000
ssl_contrastive,embeddings/self_supervised_contrastive,50,184603,50,88,0.0996525436639785,0.9671467508368096,0.2442419566629299,0.4725672279319966,0.4710038311925524,1187349.625,3.79,42,5000
ssl_contrastive,embeddings/self_supervised_contrastive,60,184603,60,88,0.1136552989482879,0.9699236565090958,0.2387201898000036,0.4884010082363131,0.4866120517342525,1117746.0,3.99,42,5000
ssl_contrastive,embeddings/self_supervised_contrastive,70,184603,70,88,0.1081695035099983,0.971546249422854,0.2357080710072791,0.4989947121424279,0.4969777220278417,1087346.75,4.36,42,5000
ssl_contrastive,embeddings/self_supervised_contrastive,80,184603,80,88,0.1075988784432411,0.972586958021215,0.2310840679387093,0.5169158932745642,0.5147092618611586,1057973.0,4.43,42,5000
ssl_contrastive,embeddings/self_supervised_contrastive,90,184603,90,88,0.0997568517923355,0.9733299553898036,0.2160560931677785,0.5019980482820556,0.499458594043347,1040971.8125,4.72,42,5000
ssl_contrastive,embeddings/self_supervised_contrastive,100,184603,100,88,0.1086434572935104,0.9753324873980737,0.2419351660554775,0.523494699505097,0.5208232974032035,1021552.875,4.95,42,5000
ssl_contrastive,embeddings/self_supervised_contrastive,110,184603,110,88,0.1091116219758987,0.9760287409988356,0.2289210888476342,0.5281987564705126,0.5253189119417819,993422.5,5.03,42,5000
ssl_contrastive,embeddings/self_supervised_contrastive,120,184603,120,88,0.0974029749631881,0.9761409962568364,0.2082219980689472,0.5285177831993307,0.5253970089479295,983325.875,5.43,42,5000
ssl_contrastive,embeddings/self_supervised_contrastive,130,184603,130,88,0.1063694581389427,0.9767771305721432,0.2332754683011469,0.5377673052168345,0.5344592563730166,971895.8125,5.65,42,5000
ssl_contrastive,embeddings/self_supervised_contrastive,140,184603,140,88,0.1006964519619941,0.9776431745334424,0.2286492165806624,0.542384983534138,0.5388860426490365,952259.4375,5.98,42,5000
ssl_contrastive,embeddings/self_supervised_contrastive,150,184603,150,88,0.1068297028541565,0.9778455113843384,0.2243018542725988,0.5465073301746157,0.5428078420573815,934473.5,6.0,42,5000
