k,pretrain_Silhouette,finetune_Silhouette,contrastive_Silhouette,label_free_Silhouette,pretrain_RI,finetune_RI,contrastive_RI,label_free_RI,pretrain_ARI,finetune_ARI,contrastive_ARI,label_free_ARI,pretrain_NMI,finetune_NMI,contrastive_NMI,label_free_NMI,pretrain_AMI,finetune_AMI,contrastive_AMI,label_free_AMI,pretrain_Inertia,finetune_Inertia,contrastive_Inertia,label_free_Inertia
10,-0.0028719902038574,0.1819099336862564,0.0545601062476635,0.0645359456539154,0.70914887330209,0.9008716389532466,0.8998746614532499,0.8855030085080484,0.0272609892225747,0.203951887422261,0.2162406366863179,0.0946058917192729,0.1286035810063368,0.529283598370489,0.5293380388931227,0.294239241224225,0.1280598436591002,0.5289708228417059,0.5290242849464571,0.2937691913949237,411626.1875,14412189.0,822463.9375,1613553.5
20,-0.0005025456193834,0.2601551711559295,0.0791096165776252,0.0788434818387031,0.8523391702193449,0.9526194121390068,0.9469143406428852,0.9378230982174984,0.0443107993666307,0.3421312566499062,0.344284129804611,0.1839749310499427,0.1600560934858302,0.6265614035315479,0.6260159115093811,0.3808615376217544,0.15935360916512,0.6260872303721865,0.6255411714486796,0.3800701479874075,403401.875,10318331.0,749104.375,1428057.25
30,-0.0008039083331823,0.2949812114238739,0.0788510292768478,0.0878479704260826,0.8595589366585745,0.963552683589,0.9647538981641508,0.9553231564776712,0.0403211438383568,0.3882534153045279,0.4295782906919272,0.2090922944256457,0.1732835606069019,0.6635280569707571,0.6586228449500355,0.4163690490832812,0.1723122130665877,0.6629026482321331,0.6580022367020762,0.4152908646669251,401165.78125,8228954.5,713705.0625,1317417.875
40,-0.0002448519517201,0.3259604871273041,0.0780568718910217,0.0897536724805831,0.8730046867589932,0.9730290455059292,0.9736610889807984,0.9615243265365264,0.070261541934841,0.4609382966746135,0.4760946345699531,0.2025920630306451,0.200708970014223,0.6990838843770032,0.7086567920737834,0.4460663886686177,0.1996390151927978,0.6983564636956116,0.70795035093141,0.444733850201057,399470.90625,6918278.5,677259.625,1234469.625
50,-0.0103711811825633,0.3118416368961334,0.0835542827844619,0.0996525436639785,0.81118221711981,0.9768150478458284,0.9762372336537408,0.9671467508368096,0.0419622417518972,0.485689181316406,0.5053169859971165,0.2442419566629299,0.1666467207692738,0.7095815418377375,0.7153877741708586,0.4725672279319966,0.1653733798464646,0.7087159569943857,0.714557158742353,0.4710038311925524,403866.28125,6398565.0,659222.9375,1187349.625
60,-0.0203415304422378,0.3230972588062286,0.070933774113655,0.1136552989482879,0.9099012911184174,0.9797849035147104,0.978858998498444,0.9699236565090958,0.0930313939414064,0.5143995764639989,0.49985754612257,0.2387201898000036,0.2424812977297833,0.723153367976209,0.721369787749319,0.4884010082363131,0.2409235574844318,0.7221791755013955,0.720394041440891,0.4866120517342525,391838.96875,5712537.0,645107.25,1117746.0
70,-0.0018334228079766,0.3179320693016052,0.0754823461174964,0.1081695035099983,0.9264355629523346,0.9795874694043816,0.9786836837074404,0.971546249422854,0.1070004351579264,0.4884368168783849,0.4890759666215137,0.2357080710072791,0.2333642616492753,0.7290735317630305,0.7278328185256546,0.4989947121424279,0.2316955666660428,0.7279693470716584,0.7267501296797708,0.4969777220278417,390691.8125,5321682.5,637117.875,1087346.75
80,-0.0167367551475763,0.2952792644500732,0.0717858001589775,0.1075988784432411,0.9205853445006424,0.9803008412215616,0.9810946956762044,0.972586958021215,0.098289403515061,0.443970920925107,0.518686253898128,0.2310840679387093,0.2459374525896907,0.7262438438855783,0.7376567181589722,0.5169158932745642,0.2440007114737149,0.7249941436863802,0.7364875752926205,0.5147092618611586,388836.09375,5019804.5,627853.875,1057973.0
90,-0.0047788512893021,0.325740247964859,0.0685784816741943,0.0997568517923355,0.9307041452541732,0.9818803435659428,0.9814947652457748,0.9733299553898036,0.120021736606103,0.4956783399689366,0.5140510111402307,0.2160560931677785,0.2626915792781966,0.7355536045377926,0.7377418096680782,0.5019980482820556,0.260864750753822,0.7341958080403738,0.7364653735153236,0.499458594043347,386654.34375,4610990.5,620535.0625,1040971.8125
100,-0.0135318432003259,0.2921442985534668,0.0739065408706665,0.1086434572935104,0.9334085738449416,0.981973729804818,0.9801555949646308,0.9753324873980737,0.1177371498517218,0.4713719174920392,0.510627170085441,0.2419351660554775,0.2665360299048078,0.7420127084556148,0.7388755261490155,0.523494699505097,0.2641696456120834,0.7405524894632025,0.7375485313094621,0.5208232974032035,382662.96875,4428322.5,622503.0625,1021552.875
