===SWEEPS===
model,trial,seed,k,ARI,AMI,NMI,RI,Silhouette,Inertia
ssl_pretrain,1,42,10,0.027260989222574705,0.1280598436591002,0.1286035810063368,0.70914887330209,-0.002871990203857422,411626.1875
ssl_pretrain,1,42,20,0.044310799366630765,0.15935360916512006,0.16005609348583022,0.8523391702193449,-0.0005025456193834543,403401.875
ssl_pretrain,1,42,30,0.04032114383835683,0.1723122130665877,0.1732835606069019,0.8595589366585745,-0.0008039083331823349,401165.78125
ssl_pretrain,1,42,40,0.07026154193484102,0.1996390151927978,0.20070897001422303,0.8730046867589932,-0.00024485195172019303,399470.90625
ssl_pretrain,1,42,50,0.04196224175189728,0.16537337984646466,0.16664672076927384,0.81118221711981,-0.010371181182563305,403866.28125
ssl_pretrain,1,42,60,0.09303139394140647,0.24092355748443184,0.24248129772978338,0.9099012911184174,-0.020341530442237854,391838.96875
ssl_pretrain,1,42,70,0.1070004351579264,0.23169556666604285,0.2333642616492753,0.9264355629523346,-0.0018334228079766035,390691.8125
ssl_pretrain,1,42,80,0.09828940351506106,0.24400071147371494,0.24593745258969077,0.9205853445006424,-0.016736755147576332,388836.09375
ssl_pretrain,1,42,90,0.12002173660610305,0.26086475075382204,0.26269157927819664,0.9307041452541733,-0.004778851289302111,386654.34375
ssl_pretrain,1,42,100,0.11773714985172185,0.2641696456120834,0.26653602990480785,0.9334085738449416,-0.013531843200325966,382662.96875
ssl_pretrain,1,42,110,0.11717207552646922,0.2595316716119851,0.26228423591513356,0.9365834072409678,0.013033113442361355,380563.90625
ssl_pretrain,1,42,120,0.10806352251536162,0.28565119641983194,0.2886867736611241,0.944387040853609,-0.013446793891489506,375497.03125
ssl_pretrain,1,42,130,0.1279525671841354,0.2888731085249155,0.2922490168672455,0.9421155262855399,0.006352925207465887,374911.84375
ssl_pretrain,1,42,140,0.1516098904484018,0.2953208975243032,0.299026731611873,0.951418559849493,0.00257882010191679,372509.125
ssl_pretrain,1,42,150,0.12574087470112608,0.3010345722509169,0.3050286737016784,0.9549332512122352,-0.011840933933854103,370148.5
ssl_pretrain,1,42,160,0.13610187295982504,0.30032093544084504,0.30466385143222185,0.9563415985653286,0.002388577675446868,368647.875
ssl_pretrain,1,42,170,0.15054393434239882,0.30541149019169483,0.31022420535338713,0.9513294547199742,0.003059596987441182,368722.40625
ssl_pretrain,1,42,180,0.1258219363004663,0.3090919128268123,0.3142500503413587,0.9527346201452586,0.0019061119528487325,367193.59375
ssl_pretrain,1,42,190,0.12282146479990504,0.3146545204033546,0.31998804802909625,0.9557757558799697,0.005153585225343704,365800.84375
