class_name,aligned_frames,pretty,scientific_name,english_name,species,class_selection,vocal_type,random_state,draw
Turmer_call,3849,Turmer (call),Turdus merula,Common Blackbird,Turmer,random,call,42,1
Picpic_call,804,Picpic (call),Pica pica,Eurasian Magpie,Picpic,random,call,42,1
Siteur_call,614,Siteur (call),Sitta europaea,Eurasian Nuthatch,Siteur,random,call,42,1
Parmaj_call,1189,Parmaj (call),Parus major,Great Tit,Parmaj,random,call,42,1
Sylmel_call,2198,Sylmel (call),Sylvia melanocephala,Mediterranean Warbler,Sylmel,random,call,42,1
Loxcur_call,1385,Loxcur (call),Loxia curvirostra,Red Crossbill,Loxcur,random,call,42,1
Carcar_call,1038,Carcar (call),Carduelis carduelis,European Goldfinch,Carcar,random,call,42,1
Phycol_call,178,Phycol (call),Phylloscopus collybita,Common Chifchaff,Phycol,random,call,42,1
Galcri_call,3026,Galcri (call),Galerida cristata,Crested Lark,Galcri,random,call,43,2
Lusmeg_call,1486,Lusmeg (call),Luscinia megarhynchos,Common Nightingale,Lusmeg,random,call,43,2
Hirrus_call,257,Hirrus (call),Hirundo rustica,Barn Swallow,Hirrus,random,call,43,2
Stuvul_call,583,Stuvul (call),Sturnus vulgaris,Common Starling,Stuvul,random,call,43,2
Parcae_call,1770,Parcae (call),Cyanistes caeruleus,Blue Tit,Parcae,random,call,43,2
Aegcau_call,1103,Aegcau (call),Aegithalos caudatus,Long-tailed Tit,Aegcau,random,call,43,2
Parate_call,776,Parate (call),Periparus ater,Coal Tit,Parate,random,call,43,2
Butbut_call,1454,Butbut (call),Buteo buteo,Common Buzzard,Butbut,random,call,43,2
Carcar_call,1038,Carcar (call),Carduelis carduelis,European Goldfinch,Carcar,random,call,44,3
Poepal_call,1059,Poepal (call),Poecile palustris,Marsh Tit,Poepal,random,call,44,3
Erirub_call,455,Erirub (call),Erithacus rubecula,European Robin,Erirub,random,call,44,3
Parcae_call,1770,Parcae (call),Cyanistes caeruleus,Blue Tit,Parcae,random,call,44,3
Turmer_call,3849,Turmer (call),Turdus merula,Common Blackbird,Turmer,random,call,44,3
Lopcri_call,1659,Lopcri (call),Lophophanes cristatus,European Crested Tit,Lopcri,random,call,44,3
Cerbra_call,1022,Cerbra (call),Certhia brachydactyla,Short-toed Treecreeper,Cerbra,random,call,44,3
Pelgra_call,1551,Pelgra (call),Pelophylax kl. grafi,Graf's Hybrid Frog,Pelgra,random,call,44,3
Regign_call,1087,Regign (call),Regulus ignicapillus,Common Firecrest,Regign,random,call,45,4
Oriori_call,1217,Oriori (call),Oriolus oriolus,Eurasian Golden Oriole,Oriori,random,call,45,4
Siteur_call,614,Siteur (call),Sitta europaea,Eurasian Nuthatch,Siteur,random,call,45,4
Poepal_call,1059,Poepal (call),Poecile palustris,Marsh Tit,Poepal,random,call,45,4
