sample_key,recording_id,window_start_s,window_end_s,row_idx,model,embedding_dim,a2v_num_frames,a2v_trim_frames,window_labels,dominant_species,is_single_species,wav_path,waveform_samples,source_sr,cluster_id,representation,subset,k,aggregation
nips4b_birds_trainfile001_1_2,nips4b_birds_trainfile001,1.0,2.0,1,a2v,154368,201.0,0,butbut_call,butbut_call,True,/path/to/data,24000,24000,198,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile002_0_1,nips4b_birds_trainfile002,0.0,1.0,5,a2v,154368,201.0,0,sylmel_song,sylmel_song,True,/path/to/data,24000,24000,169,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile003_0_1,nips4b_birds_trainfile003,0.0,1.0,10,a2v,154368,201.0,0,sylcan_song,sylcan_song,True,/path/to/data,24000,24000,15,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile003_3_4,nips4b_birds_trainfile003,3.0,4.0,13,a2v,154368,201.0,0,petpet_song,petpet_song,True,/path/to/data,24000,24000,20,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile003_4_5,nips4b_birds_trainfile003,4.0,5.0,14,a2v,154368,201.0,0,petpet_song,petpet_song,True,/path/to/data,24000,24000,90,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile005_2_3,nips4b_birds_trainfile005,2.0,3.0,22,a2v,154368,201.0,0,prumod_song,prumod_song,True,/path/to/data,24000,24000,9,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile007_2_3,nips4b_birds_trainfile007,2.0,3.0,29,a2v,154368,201.0,0,turmer_song,turmer_song,True,/path/to/data,24000,24000,72,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile008_0_1,nips4b_birds_trainfile008,0.0,1.0,32,a2v,154368,201.0,0,galthe_call,galthe_call,True,/path/to/data,24000,24000,108,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile008_1_2,nips4b_birds_trainfile008,1.0,2.0,33,a2v,154368,201.0,0,galthe_call,galthe_call,True,/path/to/data,24000,24000,10,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile008_4_5,nips4b_birds_trainfile008,4.0,5.0,36,a2v,154368,201.0,0,galthe_call,galthe_call,True,/path/to/data,24000,24000,108,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile010_0_1,nips4b_birds_trainfile010,0.0,1.0,42,a2v,154368,201.0,0,carcan_song,carcan_song,True,/path/to/data,24000,24000,111,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile010_1_2,nips4b_birds_trainfile010,1.0,2.0,43,a2v,154368,201.0,0,carcan_song,carcan_song,True,/path/to/data,24000,24000,130,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile010_2_3,nips4b_birds_trainfile010,2.0,3.0,44,a2v,154368,201.0,0,carcan_song,carcan_song,True,/path/to/data,24000,24000,130,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile011_0_1,nips4b_birds_trainfile011,0.0,1.0,46,a2v,154368,201.0,0,cerbra_call,cerbra_call,True,/path/to/data,24000,24000,23,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile011_2_3,nips4b_birds_trainfile011,2.0,3.0,48,a2v,154368,201.0,0,pasdom_call,pasdom_call,True,/path/to/data,24000,24000,90,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile012_0_1,nips4b_birds_trainfile012,0.0,1.0,49,a2v,154368,201.0,0,turmer_song,turmer_song,True,/path/to/data,24000,24000,6,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile012_4_5,nips4b_birds_trainfile012,4.0,5.0,53,a2v,154368,201.0,0,embcir_song,embcir_song,True,/path/to/data,24000,24000,143,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile013_0_1,nips4b_birds_trainfile013,0.0,1.0,54,a2v,154368,201.0,0,sylund_song,sylund_song,True,/path/to/data,24000,24000,18,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile013_1_2,nips4b_birds_trainfile013,1.0,2.0,55,a2v,154368,201.0,0,sylund_song,sylund_song,True,/path/to/data,24000,24000,90,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile013_4_5,nips4b_birds_trainfile013,4.0,5.0,58,a2v,154368,201.0,0,sylund_song,sylund_song,True,/path/to/data,24000,24000,10,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile014_0_1,nips4b_birds_trainfile014,0.0,1.0,59,a2v,154368,201.0,0,carcan_call,carcan_call,True,/path/to/data,24000,24000,80,a2v_1s_vote,single,200,majority_vote
nips4b_birds_trainfile014_1_2,nips4b_birds_trainfile014,1.0,2.0,60,a2v,154368,201.0,0,carcan_call,carcan_call,True,/path/to/data,24000,24000,9,a2v_1s_vote,single,200,majority_vote
