k,a2v_1s_vote_Silhouette,a2v_3s_vote_Silhouette,a2v_5s_vote_Silhouette,birdnet_3s_Silhouette,perch_5s_Silhouette,a2v_1s_vote_ARI,a2v_3s_vote_ARI,a2v_5s_vote_ARI,birdnet_3s_ARI,perch_5s_ARI,a2v_1s_vote_AMI,a2v_3s_vote_AMI,a2v_5s_vote_AMI,birdnet_3s_AMI,perch_5s_AMI,a2v_1s_vote_NMI,a2v_3s_vote_NMI,a2v_5s_vote_NMI,birdnet_3s_NMI,perch_5s_NMI,a2v_1s_vote_Purity,a2v_3s_vote_Purity,a2v_5s_vote_Purity,birdnet_3s_Purity,perch_5s_Purity,a2v_1s_vote_VMeasure,a2v_3s_vote_VMeasure,a2v_5s_vote_VMeasure,birdnet_3s_VMeasure,perch_5s_VMeasure,a2v_1s_vote_Inertia,a2v_3s_vote_Inertia,a2v_5s_vote_Inertia,birdnet_3s_Inertia,perch_5s_Inertia
10.0,0.029128162190318108,0.03806518390774727,0.046995218843221664,0.11425220221281052,0.08633759617805481,0.03194583542637016,0.055688665600958136,0.04160666584641133,0.1071630107019799,0.22645862840170555,0.1436499773246177,0.15891935032848487,0.120684822942993,0.3735034280009251,0.4178754732591089,0.2309405974892678,0.3643429290380345,0.4360481301950217,0.5146722331275302,0.6164303116198303,0.10362257792754845,0.2,0.22695035460992907,0.2903225806451613,0.41134751773049644,0.23094059748926782,0.36434292903803445,0.43604813019502175,0.5146722331275302,0.6164303116198302,48244.390625,23858.3125,14301.3759765625,101.84391021728516,81.08047485351562
20.0,0.011153217405080795,0.016847293823957443,0.039978981018066406,0.07581939548254013,0.1306944489479065,0.04258525377554704,0.07698492552549116,0.10333197816030947,0.16056802402181247,0.38851800257457375,0.1597588728964358,0.18507955195218143,0.2062777901987041,0.4184846087337903,0.5482263397922735,0.2795882256928815,0.4453072601071695,0.5766456214326051,0.6122404484135949,0.7548096927669661,0.11710193765796124,0.24193548387096775,0.3404255319148936,0.4129032258064516,0.5673758865248227,0.27958822569288144,0.4453072601071694,0.5766456214326051,0.6122404484135949,0.7548096927669661,47111.80078125,22789.451171875,13530.1669921875,90.1904296875,65.17166900634766
30.0,0.014064648188650608,0.009306159801781178,0.04000280424952507,0.06207023561000824,0.11468739807605743,0.057548620943988146,0.06616028214641513,0.11562385063528134,0.18595453936586592,0.5042831497697717,0.20700531475175418,0.15771119911961407,0.21086979593806385,0.44536339334690095,0.6030131530612746,0.36287003851409505,0.48646234351891465,0.6432806595174438,0.6541644067215289,0.8128461482323694,0.17691659646166807,0.2709677419354839,0.41134751773049644,0.45806451612903226,0.6808510638297872,0.362870038514095,0.48646234351891465,0.6432806595174437,0.6541644067215289,0.8128461482323694,45462.3203125,21910.705078125,13006.2451171875,84.1069564819336,55.926513671875
40.0,0.0027506304904818535,0.010222158394753933,0.026237133890390396,0.06717085093259811,0.10128264874219894,0.06021537394142742,0.10902398488179393,0.16647559728289368,0.19154055594968658,0.41375571169793346,0.2151262582822309,0.20406298584156304,0.24545347376748378,0.46988892248948744,0.5584433923388519,0.3730927267464327,0.5375609128716792,0.6674576847869635,0.6891879174073392,0.8201178063405037,0.18112889637742208,0.31290322580645163,0.44680851063829785,0.5290322580645161,0.7375886524822695,0.37309272674643273,0.5375609128716792,0.6674576847869635,0.6891879174073392,0.8201178063405038,44917.26171875,21469.431640625,12745.8642578125,78.71804809570312,46.77147674560547
50.0,0.003274046815931797,0.0072149247862398624,0.026840094476938248,0.0680493488907814,0.10160424560308456,0.07555179294487042,0.14636452956080764,0.13146534948734853,0.14759590974073003,0.4473497540723447,0.22916118442934982,0.2430929587666004,0.21953139529687163,0.44529179477380626,0.5872373804110151,0.41735122132955826,0.5788658680718662,0.678734824720691,0.6978698534460736,0.8425028362217671,0.21398483572030327,0.3741935483870968,0.48936170212765956,0.5612903225806452,0.7659574468085106,0.4173512213295583,0.5788658680718661,0.678734824720691,0.6978698534460736,0.842502836221767,44242.4296875,21079.84765625,12437.138671875,71.1322250366211,39.48801040649414
60.0,-0.0033636940643191338,0.023225348442792892,0.02419242076575756,0.06066481024026871,0.09930841624736786,0.07417493399159061,0.12555942091261096,0.16047513534893018,0.15813576479336805,0.5125831104832567,0.2322598170633598,0.222140546758773,0.24396747671017185,0.4242413938499696,0.5822514187378802,0.41444216610152346,0.598457148092305,0.6990885930650522,0.6905960820012366,0.8496841026920051,0.21651221566975568,0.38387096774193546,0.5177304964539007,0.5483870967741935,0.8226950354609929,0.41444216610152346,0.598457148092305,0.6990885930650521,0.6905960820012366,0.849684102692005,44092.03515625,20667.958984375,12366.7548828125,68.9706039428711,34.85578155517578
70.0,-0.02190118469297886,0.011221693828701973,0.02953261137008667,0.00816297996789217,0.05793783813714981,0.0905150322602091,0.18586057891247773,0.1255360275681663,0.16459897133658696,0.4167669956533092,0.23977624286768673,0.2853386507063824,0.22034422686845126,0.39226414880960325,0.5125149911001091,0.42925767597548603,0.6298944859484289,0.7010081667640553,0.6968634452334068,0.8341351264958153,0.21988205560235888,0.432258064516129,0.5177304964539007,0.5774193548387097,0.8156028368794326,0.42925767597548603,0.6298944859484288,0.7010081667640553,0.6968634452334068,0.8341351264958153,43801.2734375,20564.65625,12141.453125,65.31230163574219,33.57968521118164
80.0,0.00946118962019682,0.008371751755475998,0.023445583879947662,0.02106231264770031,0.03831509128212929,0.06695922051740495,0.13372872604680167,0.1266117986747776,0.16934343024857162,0.21324516772511673,0.22887799514672905,0.23776574724080776,0.21752884278695742,0.41086181293803586,0.40906100523871936,0.3987032007247429,0.622202072343172,0.7111134296634812,0.7128723238392197,0.8107037966505013,0.2021903959561921,0.44516129032258067,0.5460992907801419,0.6,0.8085106382978723,0.39870320072474297,0.622202072343172,0.7111134296634812,0.7128723238392196,0.8107037966505013,44325.90625,20326.00390625,12005.5673828125,63.278106689453125,32.87227249145508
90.0,-0.003012919332832098,0.007661515846848488,0.014230957254767418,0.032743651419878006,0.048618946224451065,0.07970176811678656,0.14862879312245536,0.09208673841782793,0.239482670697119,0.33761212255905293,0.22970728766519755,0.26420886110675407,0.1750204464237292,0.44246126488598625,0.45559946841703886,0.4416778793262075,0.6467355128264172,0.6917774706104614,0.748685407618788,0.8347229808272422,0.2409435551811289,0.45806451612903226,0.5106382978723404,0.6903225806451613,0.8581560283687943,0.4416778793262074,0.6467355128264172,0.6917774706104614,0.748685407618788,0.8347229808272421,43400.8671875,20197.8359375,11932.1279296875,55.15462875366211,28.42118263244629
100.0,-0.023368243128061295,0.009512227028608322,0.013093057088553905,0.002543153241276741,0.043028574436903,0.07366149778836449,0.15694032815128042,0.15418053023307496,0.15798571844482476,0.3201884004839403,0.2278600953243384,0.25576428986031713,0.2422144852729132,0.38711238802257975,0.4254583072502003,0.40684180855523977,0.6371578310608306,0.7274672829472121,0.7264710511206551,0.8455146039124196,0.20977253580454927,0.4483870967741935,0.5886524822695035,0.6483870967741936,0.9078014184397163,0.40684180855523977,0.6371578310608306,0.7274672829472121,0.726471051120655,0.8455146039124196,44075.09765625,19997.939453125,11890.3154296875,55.87775802612305,19.032222747802734
